"order_id";"product";"quantity_Ordered";"price_Each";"order_Date";"purchase_Address";"month";"sales";"City";"hour";"day";"weekday"
176558;"USB-C Charging Cable";2;11.95;"2019-04-19 08:46:00";"917 1st St, Dallas, TX 75001";4;23.9;" Dallas";8;0;""
176559;"Bose SoundSport Headphones";1;99.99;"2019-04-07 22:30:00";"682 Chestnut St, Boston, MA 02215";4;99.99;" Boston";22;0;""
176560;"Google Phone";1;600.0;"2019-04-12 14:38:00";"669 Spruce St, Los Angeles, CA 90001";4;600.0;" Los Angeles";14;0;""
176561;"Wired Headphones";1;11.99;"2019-04-30 09:27:00";"333 8th St, Los Angeles, CA 90001";4;11.99;" Los Angeles";9;0;""
176562;"USB-C Charging Cable";1;11.95;"2019-04-29 13:03:00";"381 Wilson St, San Francisco, CA 94016";4;11.95;" San Francisco";13;0;""
176563;"Bose SoundSport Headphones";1;99.99;"2019-04-02 07:46:00";"668 Center St, Seattle, WA 98101";4;99.99;" Seattle";7;0;""
176564;"USB-C Charging Cable";1;11.95;"2019-04-12 10:58:00";"790 Ridge St, Atlanta, GA 30301";4;11.95;" Atlanta";10;0;""
176565;"Macbook Pro Laptop";1;1700.0;"2019-04-24 10:38:00";"915 Willow St, San Francisco, CA 94016";4;1700.0;" San Francisco";10;0;""
176566;"Wired Headphones";1;11.99;"2019-04-08 14:05:00";"83 7th St, Boston, MA 02215";4;11.99;" Boston";14;0;""
176567;"Google Phone";1;600.0;"2019-04-18 17:18:00";"444 7th St, Los Angeles, CA 90001";4;600.0;" Los Angeles";17;0;""
176568;"Lightning Charging Cable";1;14.95;"2019-04-15 12:18:00";"438 Elm St, Seattle, WA 98101";4;14.95;" Seattle";12;0;""
176569;"27in 4K Gaming Monitor";1;389.99;"2019-04-16 19:23:00";"657 Hill St, Dallas, TX 75001";4;389.99;" Dallas";19;0;""
176570;"AA Batteries (4-pack)";1;3.84;"2019-04-22 15:09:00";"186 12th St, Dallas, TX 75001";4;3.84;" Dallas";15;0;""
176571;"Lightning Charging Cable";1;14.95;"2019-04-19 14:29:00";"253 Johnson St, Atlanta, GA 30301";4;14.95;" Atlanta";14;0;""
